item,item_label,itemparent,itemparent_label,itemgrandparent,itemgrandparent_label,subclass,subclass_label,class,class_label,department,department_label,group,group_label,division,division_label,supplier,supplier_label,parentdiff1,parentdiff1_label,grandparentdiff1,grandparentdiff1_label,subclassdiff1,subclassdiff1_label,classdiff1,classdiff1_label,deptdiff1,deptdiff1_label,diff1,diff1_label,itemgrp1,itemgrp1_label,itemgrp2,itemgrp2_label
10000020,10000020Leather Loafer - Brown 6.5 B,10000020,10000020Leather Loafer - Brown 6.5 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000020_MED,10000020Leather Loafer - Brown 6.5 B Medium,10000009_MED,10000009Leather Loafer Medium,122_MED,122Loafer Medium,1312_MED,1312Casual* Medium,1310_MED,1310Footwear Women's* Medium,_MED,Medium,122,122Loafer,1312,1312Casual*
10000021,10000021Leather Loafer - Brown 7 B,10000021,10000021Leather Loafer - Brown 7 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000021_LRG,10000021Leather Loafer - Brown 7 B Large,10000009_LRG,10000009Leather Loafer Large,122_LRG,122Loafer Large,1312_LRG,1312Casual* Large,1310_LRG,1310Footwear Women's* Large,_LRG,Large,122,122Loafer,1312,1312Casual*
10000022,10000022Leather Loafer - Brown 7.5 B,10000022,10000022Leather Loafer - Brown 7.5 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000022_SML,10000022Leather Loafer - Brown 7.5 B Small,10000009_SML,10000009Leather Loafer Small,122_SML,122Loafer Small,1312_SML,1312Casual* Small,1310_SML,1310Footwear Women's* Small,_SML,Small,122,122Loafer,1312,1312Casual*
10000023,10000023Leather Loafer - Brown 8 B,10000023,10000023Leather Loafer - Brown 8 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000023_MED,10000023Leather Loafer - Brown 8 B Medium,10000009_MED,10000009Leather Loafer Medium,122_MED,122Loafer Medium,1312_MED,1312Casual* Medium,1310_MED,1310Footwear Women's* Medium,_MED,Medium,122,122Loafer,1312,1312Casual*
10000024,10000024Leather Loafer - Brown 8.5 B,10000024,10000024Leather Loafer - Brown 8.5 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000024_LRG,10000024Leather Loafer - Brown 8.5 B Large,10000009_LRG,10000009Leather Loafer Large,122_LRG,122Loafer Large,1312_LRG,1312Casual* Large,1310_LRG,1310Footwear Women's* Large,_LRG,Large,122,122Loafer,1312,1312Casual*
10000025,10000025Leather Loafer - Brown 9 B,10000025,10000025Leather Loafer - Brown 9 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000025_SML,10000025Leather Loafer - Brown 9 B Small,10000009_SML,10000009Leather Loafer Small,122_SML,122Loafer Small,1312_SML,1312Casual* Small,1310_SML,1310Footwear Women's* Small,_SML,Small,122,122Loafer,1312,1312Casual*
10000026,10000026Leather Loafer - Brown 9.5 B,10000026,10000026Leather Loafer - Brown 9.5 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000026_MED,10000026Leather Loafer - Brown 9.5 B Medium,10000009_MED,10000009Leather Loafer Medium,122_MED,122Loafer Medium,1312_MED,1312Casual* Medium,1310_MED,1310Footwear Women's* Medium,_MED,Medium,122,122Loafer,1312,1312Casual*
10000027,10000027Leather Loafer - Brown 10 B,10000027,10000027Leather Loafer - Brown 10 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000027_LRG,10000027Leather Loafer - Brown 10 B Large,10000009_LRG,10000009Leather Loafer Large,122_LRG,122Loafer Large,1312_LRG,1312Casual* Large,1310_LRG,1310Footwear Women's* Large,_LRG,Large,122,122Loafer,1312,1312Casual*
10000029,10000029Leather Lace-up - Black 9 D,10000029,10000029Leather Lace-up - Black 9 D,10000028,10000028Leather Lace-up,223,223Lace Up,1322,1322Casual*,1320,1320Footwear Men's*,1300,Group 1,1,All Product,1000,Supplier 1,10000029_SML,10000029Leather Lace-up - Black 9 D Small,10000028_SML,10000028Leather Lace-up Small,223_SML,223Lace Up Small,1322_SML,1322Casual* Small,1320_SML,1320Footwear Men's* Small,_SML,Small,223,223Lace Up,1322,1322Casual*
10000030,10000030Leather Lace-up - Black 9.5 D,10000030,10000030Leather Lace-up - Black 9.5 D,10000028,10000028Leather Lace-up,223,223Lace Up,1322,1322Casual*,1320,1320Footwear Men's*,1300,Group 1,1,All Product,1000,Supplier 1,10000030_MED,10000030Leather Lace-up - Black 9.5 D Medium,10000028_MED,10000028Leather Lace-up Medium,223_MED,223Lace Up Medium,1322_MED,1322Casual* Medium,1320_MED,1320Footwear Men's* Medium,_MED,Medium,223,223Lace Up,1322,1322Casual*
10000031,10000031Leather Lace-up - Black 10 D,10000031,10000031Leather Lace-up - Black 10 D,10000028,10000028Leather Lace-up,223,223Lace Up,1322,1322Casual*,1320,1320Footwear Men's*,1300,Group 1,1,All Product,1000,Supplier 1,10000031_LRG,10000031Leather Lace-up - Black 10 D Large,10000028_LRG,10000028Leather Lace-up Large,223_LRG,223Lace Up Large,1322_LRG,1322Casual* Large,1320_LRG,1320Footwear Men's* Large,_LRG,Large,223,223Lace Up,1322,1322Casual*
10000032,10000032Leather Lace-up - Black 10.5 D,10000032,10000032Leather Lace-up - Black 10.5 D,10000028,10000028Leather Lace-up,223,223Lace Up,1322,1322Casual*,1320,1320Footwear Men's*,1300,Group 1,1,All Product,1000,Supplier 1,10000032_SML,10000032Leather Lace-up - Black 10.5 D Small,10000028_SML,10000028Leather Lace-up Small,223_SML,223Lace Up Small,1322_SML,1322Casual* Small,1320_SML,1320Footwear Men's* Small,_SML,Small,223,223Lace Up,1322,1322Casual*
10000033,10000033Leather Lace-up - Black 11 D,10000033,10000033Leather Lace-up - Black 11 D,10000028,10000028Leather Lace-up,223,223Lace Up,1322,1322Casual*,1320,1320Footwear Men's*,1300,Group 1,1,All Product,1000,Supplier 1,10000033_MED,10000033Leather Lace-up - Black 11 D Medium,10000028_MED,10000028Leather Lace-up Medium,223_MED,223Lace Up Medium,1322_MED,1322Casual* Medium,1320_MED,1320Footwear Men's* Medium,_MED,Medium,223,223Lace Up,1322,1322Casual*
10000034,10000034Leather Lace-up - Black 11.5 D,10000034,10000034Leather Lace-up - Black 11.5 D,10000028,10000028Leather Lace-up,223,223Lace Up,1322,1322Casual*,1320,1320Footwear Men's*,1300,Group 1,1,All Product,1000,Supplier 1,10000034_LRG,10000034Leather Lace-up - Black 11.5 D Large,10000028_LRG,10000028Leather Lace-up Large,223_LRG,223Lace Up Large,1322_LRG,1322Casual* Large,1320_LRG,1320Footwear Men's* Large,_LRG,Large,223,223Lace Up,1322,1322Casual*
10000035,10000035Leather Lace-up - Black 12 D,10000035,10000035Leather Lace-up - Black 12 D,10000028,10000028Leather Lace-up,223,223Lace Up,1322,1322Casual*,1320,1320Footwear Men's*,1300,Group 1,1,All Product,1000,Supplier 1,10000035_SML,10000035Leather Lace-up - Black 12 D Small,10000028_SML,10000028Leather Lace-up Small,223_SML,223Lace Up Small,1322_SML,1322Casual* Small,1320_SML,1320Footwear Men's* Small,_SML,Small,223,223Lace Up,1322,1322Casual*
10000036,10000036Leather Lace-up - Brown 9 D,10000036,10000036Leather Lace-up - Brown 9 D,10000028,10000028Leather Lace-up,223,223Lace Up,1322,1322Casual*,1320,1320Footwear Men's*,1300,Group 1,1,All Product,1000,Supplier 1,10000036_MED,10000036Leather Lace-up - Brown 9 D Medium,10000028_MED,10000028Leather Lace-up Medium,223_MED,223Lace Up Medium,1322_MED,1322Casual* Medium,1320_MED,1320Footwear Men's* Medium,_MED,Medium,223,223Lace Up,1322,1322Casual*
10000037,10000037Leather Lace-up - Brown 9.5 D,10000037,10000037Leather Lace-up - Brown 9.5 D,10000028,10000028Leather Lace-up,223,223Lace Up,1322,1322Casual*,1320,1320Footwear Men's*,1300,Group 1,1,All Product,1000,Supplier 1,10000037_LRG,10000037Leather Lace-up - Brown 9.5 D Large,10000028_LRG,10000028Leather Lace-up Large,223_LRG,223Lace Up Large,1322_LRG,1322Casual* Large,1320_LRG,1320Footwear Men's* Large,_LRG,Large,223,223Lace Up,1322,1322Casual*
10000038,10000038Leather Lace-up - Brown 10 D,10000038,10000038Leather Lace-up - Brown 10 D,10000028,10000028Leather Lace-up,223,223Lace Up,1322,1322Casual*,1320,1320Footwear Men's*,1300,Group 1,1,All Product,1000,Supplier 1,10000038_SML,10000038Leather Lace-up - Brown 10 D Small,10000028_SML,10000028Leather Lace-up Small,223_SML,223Lace Up Small,1322_SML,1322Casual* Small,1320_SML,1320Footwear Men's* Small,_SML,Small,223,223Lace Up,1322,1322Casual*
10000039,10000039Leather Lace-up - Brown 10.5 D,10000039,10000039Leather Lace-up - Brown 10.5 D,10000028,10000028Leather Lace-up,223,223Lace Up,1322,1322Casual*,1320,1320Footwear Men's*,1300,Group 1,1,All Product,1000,Supplier 1,10000039_MED,10000039Leather Lace-up - Brown 10.5 D Medium,10000028_MED,10000028Leather Lace-up Medium,223_MED,223Lace Up Medium,1322_MED,1322Casual* Medium,1320_MED,1320Footwear Men's* Medium,_MED,Medium,223,223Lace Up,1322,1322Casual*
10000040,10000040Leather Lace-up - Brown 11 D,10000040,10000040Leather Lace-up - Brown 11 D,10000028,10000028Leather Lace-up,223,223Lace Up,1322,1322Casual*,1320,1320Footwear Men's*,1300,Group 1,1,All Product,1000,Supplier 1,10000040_LRG,10000040Leather Lace-up - Brown 11 D Large,10000028_LRG,10000028Leather Lace-up Large,223_LRG,223Lace Up Large,1322_LRG,1322Casual* Large,1320_LRG,1320Footwear Men's* Large,_LRG,Large,223,223Lace Up,1322,1322Casual*
10000041,10000041Leather Lace-up - Brown 11.5 D,10000041,10000041Leather Lace-up - Brown 11.5 D,10000028,10000028Leather Lace-up,223,223Lace Up,1322,1322Casual*,1320,1320Footwear Men's*,1300,Group 1,1,All Product,1000,Supplier 1,10000041_SML,10000041Leather Lace-up - Brown 11.5 D Small,10000028_SML,10000028Leather Lace-up Small,223_SML,223Lace Up Small,1322_SML,1322Casual* Small,1320_SML,1320Footwear Men's* Small,_SML,Small,223,223Lace Up,1322,1322Casual*
10000042,10000042Leather Lace-up - Brown 12 D,10000042,10000042Leather Lace-up - Brown 12 D,10000028,10000028Leather Lace-up,223,223Lace Up,1322,1322Casual*,1320,1320Footwear Men's*,1300,Group 1,1,All Product,1000,Supplier 1,10000042_MED,10000042Leather Lace-up - Brown 12 D Medium,10000028_MED,10000028Leather Lace-up Medium,223_MED,223Lace Up Medium,1322_MED,1322Casual* Medium,1320_MED,1320Footwear Men's* Medium,_MED,Medium,223,223Lace Up,1322,1322Casual*
10000044,10000044Kangaroo Pocket Sweater - Blac,10000044,10000044Kangaroo Pocket Sweater - Blac,10000043,10000043Kangaroo Pocket Sweater,142,142Long Sleeve,1114,1114Sweaters*,1110,1110Women's Sportswear*,1300,Group 1,1,All Product,1000,Supplier 1,10000044_LRG,10000044Kangaroo Pocket Sweater - Blac Large,10000043_LRG,10000043Kangaroo Pocket Sweater Large,142_LRG,142Long Sleeve Large,1114_LRG,1114Sweaters* Large,1110_LRG,1110Women's Sportswear* Large,_LRG,Large,142,142Long Sleeve,1114,1114Sweaters*
10000045,10000045Kangaroo Pocket Sweater - Blac,10000045,10000045Kangaroo Pocket Sweater - Blac,10000043,10000043Kangaroo Pocket Sweater,142,142Long Sleeve,1114,1114Sweaters*,1110,1110Women's Sportswear*,1300,Group 1,1,All Product,1000,Supplier 1,10000045_SML,10000045Kangaroo Pocket Sweater - Blac Small,10000043_SML,10000043Kangaroo Pocket Sweater Small,142_SML,142Long Sleeve Small,1114_SML,1114Sweaters* Small,1110_SML,1110Women's Sportswear* Small,_SML,Small,142,142Long Sleeve,1114,1114Sweaters*
10000046,10000046Kangaroo Pocket Sweater - Blac,10000046,10000046Kangaroo Pocket Sweater - Blac,10000043,10000043Kangaroo Pocket Sweater,142,142Long Sleeve,1114,1114Sweaters*,1110,1110Women's Sportswear*,1300,Group 1,1,All Product,1000,Supplier 1,10000046_MED,10000046Kangaroo Pocket Sweater - Blac Medium,10000043_MED,10000043Kangaroo Pocket Sweater Medium,142_MED,142Long Sleeve Medium,1114_MED,1114Sweaters* Medium,1110_MED,1110Women's Sportswear* Medium,_MED,Medium,142,142Long Sleeve,1114,1114Sweaters*
10000047,10000047Kangaroo Pocket Sweater - Blac,10000047,10000047Kangaroo Pocket Sweater - Blac,10000043,10000043Kangaroo Pocket Sweater,142,142Long Sleeve,1114,1114Sweaters*,1110,1110Women's Sportswear*,1300,Group 1,1,All Product,1000,Supplier 1,10000047_LRG,10000047Kangaroo Pocket Sweater - Blac Large,10000043_LRG,10000043Kangaroo Pocket Sweater Large,142_LRG,142Long Sleeve Large,1114_LRG,1114Sweaters* Large,1110_LRG,1110Women's Sportswear* Large,_LRG,Large,142,142Long Sleeve,1114,1114Sweaters*
10000049,10000049Buzz Lightyear -,10000049,10000049Buzz Lightyear -,10000049,10000049Buzz Lightyear,113,113Percale 200,2711,2711Sheets*,2710,2710Bedding*,1300,Group 1,1,All Product,1000,Supplier 1,10000049_SML,10000049Buzz Lightyear - Small,10000049_SML,10000049Buzz Lightyear Small,113_SML,113Percale 200 Small,2711_SML,2711Sheets* Small,2710_SML,2710Bedding* Small,_SML,Small,113,113Percale 200,2711,2711Sheets*
10000053,10000053Bohemian 5 Pocket Jeans - Ston,10000053,10000053Bohemian 5 Pocket Jeans - Ston,10000051,10000051Bohemian 5 Pocket Jeans,111,111Fashion,1141,1141Jeans*,1140,1140Women's Denim*,1300,Group 1,1,All Product,1000,Supplier 1,10000053_LRG,10000053Bohemian 5 Pocket Jeans - Ston Large,10000051_LRG,10000051Bohemian 5 Pocket Jeans Large,111_LRG,111Fashion Large,1141_LRG,1141Jeans* Large,1140_LRG,1140Women's Denim* Large,_LRG,Large,111,111Fashion,1141,1141Jeans*
10000054,10000054Bohemian 5 Pocket Jeans - Ston,10000054,10000054Bohemian 5 Pocket Jeans - Ston,10000051,10000051Bohemian 5 Pocket Jeans,111,111Fashion,1141,1141Jeans*,1140,1140Women's Denim*,1300,Group 1,1,All Product,1000,Supplier 1,10000054_SML,10000054Bohemian 5 Pocket Jeans - Ston Small,10000051_SML,10000051Bohemian 5 Pocket Jeans Small,111_SML,111Fashion Small,1141_SML,1141Jeans* Small,1140_SML,1140Women's Denim* Small,_SML,Small,111,111Fashion,1141,1141Jeans*
10000055,10000055Bohemian 5 Pocket Jeans - Ston,10000055,10000055Bohemian 5 Pocket Jeans - Ston,10000051,10000051Bohemian 5 Pocket Jeans,111,111Fashion,1141,1141Jeans*,1140,1140Women's Denim*,1300,Group 1,1,All Product,1000,Supplier 1,10000055_MED,10000055Bohemian 5 Pocket Jeans - Ston Medium,10000051_MED,10000051Bohemian 5 Pocket Jeans Medium,111_MED,111Fashion Medium,1141_MED,1141Jeans* Medium,1140_MED,1140Women's Denim* Medium,_MED,Medium,111,111Fashion,1141,1141Jeans*
10000056,10000056Bohemian 5 Pocket Jeans - Ston,10000056,10000056Bohemian 5 Pocket Jeans - Ston,10000051,10000051Bohemian 5 Pocket Jeans,111,111Fashion,1141,1141Jeans*,1140,1140Women's Denim*,1300,Group 1,1,All Product,1000,Supplier 1,10000056_LRG,10000056Bohemian 5 Pocket Jeans - Ston Large,10000051_LRG,10000051Bohemian 5 Pocket Jeans Large,111_LRG,111Fashion Large,1141_LRG,1141Jeans* Large,1140_LRG,1140Women's Denim* Large,_LRG,Large,111,111Fashion,1141,1141Jeans*
10000059,100000593D Grid Hurricane,10000059,100000593D Grid Hurricane,10000059,100000593D Grid Hurricane,141,141Short Sleeve,1114,1114Sweaters*,1110,1110Women's Sportswear*,1300,Group 1,1,All Product,1000,Supplier 1,10000059_MED,100000593D Grid Hurricane Medium,10000059_MED,100000593D Grid Hurricane Medium,141_MED,141Short Sleeve Medium,1114_MED,1114Sweaters* Medium,1110_MED,1110Women's Sportswear* Medium,_MED,Medium,141,141Short Sleeve,1114,1114Sweaters*
10000060,10000060Z*Test - To be deleted,10000060,10000060Z*Test - To be deleted,10000060,10000060Z*Test - To be deleted,142,142Long Sleeve,1114,1114Sweaters*,1110,1110Women's Sportswear*,1300,Group 1,1,All Product,1000,Supplier 1,10000060_LRG,10000060Z*Test - To be deleted Large,10000060_LRG,10000060Z*Test - To be deleted Large,142_LRG,142Long Sleeve Large,1114_LRG,1114Sweaters* Large,1110_LRG,1110Women's Sportswear* Large,_LRG,Large,142,142Long Sleeve,1114,1114Sweaters*
10000061,10000061Java GTX,10000061,10000061Java GTX,10000061,10000061Java GTX,142,142Long Sleeve,1114,1114Sweaters*,1110,1110Women's Sportswear*,1300,Group 1,1,All Product,1000,Supplier 1,10000061_SML,10000061Java GTX Small,10000061_SML,10000061Java GTX Small,142_SML,142Long Sleeve Small,1114_SML,1114Sweaters* Small,1110_SML,1110Women's Sportswear* Small,_SML,Small,142,142Long Sleeve,1114,1114Sweaters*
10000065,100000654D Grid Hurricane,10000065,100000654D Grid Hurricane,10000065,100000654D Grid Hurricane,141,141Short Sleeve,1114,1114Sweaters*,1110,1110Women's Sportswear*,1300,Group 1,1,All Product,1000,Supplier 1,10000065_SML,100000654D Grid Hurricane Small,10000065_SML,100000654D Grid Hurricane Small,141_SML,141Short Sleeve Small,1114_SML,1114Sweaters* Small,1110_SML,1110Women's Sportswear* Small,_SML,Small,141,141Short Sleeve,1114,1114Sweaters*
10000067,100000675-Disk CD Player,10000067,100000675-Disk CD Player,10000067,100000675-Disk CD Player,111,111Fashion,1141,1141Jeans*,1140,1140Women's Denim*,1300,Group 1,1,All Product,1000,Supplier 1,10000067_LRG,100000675-Disk CD Player Large,10000067_LRG,100000675-Disk CD Player Large,111_LRG,111Fashion Large,1141_LRG,1141Jeans* Large,1140_LRG,1140Women's Denim* Large,_LRG,Large,111,111Fashion,1141,1141Jeans*
10000068,10000068Virtual display Qualitative In,10000068,10000068Virtual display Qualitative In,10000068,10000068Virtual display Qualitative Information,132,132Communication,2511,2511CD Player*,2510,2510Home Audio*,1300,Group 1,1,All Product,1000,Supplier 1,10000068_SML,10000068Virtual display Qualitative In Small,10000068_SML,10000068Virtual display Qualitative Information Small,132_SML,132Communication Small,2511_SML,2511CD Player* Small,2510_SML,2510Home Audio* Small,_SML,Small,132,132Communication,2511,2511CD Player*
10000069,10000069Carpenter Jeans - Black 6,10000069,10000069Carpenter Jeans - Black 6,10000064,10000064Carpenter Jeans,112,112Basic,1141,1141Jeans*,1140,1140Women's Denim*,1300,Group 1,1,All Product,1000,Supplier 1,10000069_MED,10000069Carpenter Jeans - Black 6 Medium,10000064_MED,10000064Carpenter Jeans Medium,112_MED,112Basic Medium,1141_MED,1141Jeans* Medium,1140_MED,1140Women's Denim* Medium,_MED,Medium,112,112Basic,1141,1141Jeans*
10000070,10000070Carpenter Jeans - Black 8,10000070,10000070Carpenter Jeans - Black 8,10000064,10000064Carpenter Jeans,112,112Basic,1141,1141Jeans*,1140,1140Women's Denim*,1300,Group 1,1,All Product,1000,Supplier 1,10000070_LRG,10000070Carpenter Jeans - Black 8 Large,10000064_LRG,10000064Carpenter Jeans Large,112_LRG,112Basic Large,1141_LRG,1141Jeans* Large,1140_LRG,1140Women's Denim* Large,_LRG,Large,112,112Basic,1141,1141Jeans*
10000071,10000071Carpenter Jeans - Black 10,10000071,10000071Carpenter Jeans - Black 10,10000064,10000064Carpenter Jeans,112,112Basic,1141,1141Jeans*,1140,1140Women's Denim*,1300,Group 1,1,All Product,1000,Supplier 1,10000071_SML,10000071Carpenter Jeans - Black 10 Small,10000064_SML,10000064Carpenter Jeans Small,112_SML,112Basic Small,1141_SML,1141Jeans* Small,1140_SML,1140Women's Denim* Small,_SML,Small,112,112Basic,1141,1141Jeans*
10000072,10000072Carpenter Jeans - Black 12,10000072,10000072Carpenter Jeans - Black 12,10000064,10000064Carpenter Jeans,112,112Basic,1141,1141Jeans*,1140,1140Women's Denim*,1300,Group 1,1,All Product,1000,Supplier 1,10000072_MED,10000072Carpenter Jeans - Black 12 Medium,10000064_MED,10000064Carpenter Jeans Medium,112_MED,112Basic Medium,1141_MED,1141Jeans* Medium,1140_MED,1140Women's Denim* Medium,_MED,Medium,112,112Basic,1141,1141Jeans*
10000073,10000073Carpenter Jeans - White 6,10000073,10000073Carpenter Jeans - White 6,10000064,10000064Carpenter Jeans,112,112Basic,1141,1141Jeans*,1140,1140Women's Denim*,1300,Group 1,1,All Product,1000,Supplier 1,10000073_LRG,10000073Carpenter Jeans - White 6 Large,10000064_LRG,10000064Carpenter Jeans Large,112_LRG,112Basic Large,1141_LRG,1141Jeans* Large,1140_LRG,1140Women's Denim* Large,_LRG,Large,112,112Basic,1141,1141Jeans*
10000074,10000074Carpenter Jeans - White 8,10000074,10000074Carpenter Jeans - White 8,10000064,10000064Carpenter Jeans,112,112Basic,1141,1141Jeans*,1140,1140Women's Denim*,1300,Group 1,1,All Product,1000,Supplier 1,10000074_SML,10000074Carpenter Jeans - White 8 Small,10000064_SML,10000064Carpenter Jeans Small,112_SML,112Basic Small,1141_SML,1141Jeans* Small,1140_SML,1140Women's Denim* Small,_SML,Small,112,112Basic,1141,1141Jeans*
10000075,10000075Carpenter Jeans - White 10,10000075,10000075Carpenter Jeans - White 10,10000064,10000064Carpenter Jeans,112,112Basic,1141,1141Jeans*,1140,1140Women's Denim*,1300,Group 1,1,All Product,1000,Supplier 1,10000075_MED,10000075Carpenter Jeans - White 10 Medium,10000064_MED,10000064Carpenter Jeans Medium,112_MED,112Basic Medium,1141_MED,1141Jeans* Medium,1140_MED,1140Women's Denim* Medium,_MED,Medium,112,112Basic,1141,1141Jeans*
